product_code,sku,old_filename,new_filename
42206126-R,NL3P-42206126-R,WhatsApp Image 2026-08-18 at 8.35.39 PM.jpeg,Nishat3Pce_42206126-R_main.jpg
42206126-R,NL3P-42206126-R,WhatsApp Image 2026-08-18 at 8.35.39 PM (1).jpeg,Nishat3Pce_42206126-R_view2.jpg
42206126-R,NL3P-42206126-R,WhatsApp Image 2026-08-18 at 8.35.39 PM (2).jpeg,Nishat3Pce_42206126-R_view3.jpg
42303181-R,NL3P-42303181-R,WhatsApp Image 2026-08-18 at 8.35.40 PM.jpeg,Nishat3Pce_42303181-R_main.jpg
42303181-R,NL3P-42303181-R,WhatsApp Image 2026-08-18 at 8.35.40 PM (1).jpeg,Nishat3Pce_42303181-R_view2.jpg
42303181-R,NL3P-42303181-R,WhatsApp Image 2026-08-18 at 8.35.40 PM (2).jpeg,Nishat3Pce_42303181-R_view3.jpg
42303202-R,NL3P-42303202-R,WhatsApp Image 2026-08-18 at 8.35.41 PM.jpeg,Nishat3Pce_42303202-R_main.jpg
42303202-R,NL3P-42303202-R,WhatsApp Image 2026-08-18 at 8.35.41 PM (1).jpeg,Nishat3Pce_42303202-R_view2.jpg
42303186-R,NL3P-42303186-R,WhatsApp Image 2026-08-18 at 8.35.42 PM.jpeg,Nishat3Pce_42303186-R_main.jpg
42303186-R,NL3P-42303186-R,WhatsApp Image 2026-08-18 at 8.35.42 PM (1).jpeg,Nishat3Pce_42303186-R_view2.jpg
