SKU,Filename,Brand,Category,Collection,BaseColor,PrimaryPrint,MotifType,SecondaryDetail,Length,OriginalSizeKB
NL-SH-1001,nishat-shell-seed-pink-botanical-lawn-shirt.jpeg,Nishat Linen,Shirt,Shell & Seed Lawn,Off-White,Shell + Botanical,Floral Scatter,Seed pods accents,3.5m,156
NL-SH-1002,nishat-olive-lotus-bloom-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn Collection 2024,Olive,Large Lotus Floral,Statement Floral,Cream-yellow blooms,3.5m,136
NL-SH-1003,nishat-ombre-lime-magenta-charcoal-snowflake-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Lime-Magenta-Charcoal,Tri-color Ombre,Geometric Motif,White snowflake icons,3.5m,135
NL-SH-1004,nishat-white-tribal-blockprint-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,White,Charcoal Tribal,Block Print,Tribal geometric repeats,3.5m,107
NL-SH-1005,nishat-charcoal-bandhani-dot-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Charcoal Grey,Subtle Dot All-Over,Bandhani-Inspired,Tonal circular repeats,3.5m,133
NL-SH-1006,nishat-black-white-abstract-botanical-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Black/White,Abstract Botanical,Modern Abstract,Bold leaf strokes + blue accent,3.5m,133
NL-SH-1007,nishat-dahlia-magenta-bloom-lawn-shirt.jpeg,Nishat Linen,Shirt,Dahlia Lawn,White,Magenta Dahlia,Statement Floral,Green leaf accents,3.5m,97
NL-SH-1008,nishat-peach-retro-daisy-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Peach,Retro Daisy All-Over,Floral Scatter,Orange/yellow/pink blooms,3.5m,165
NL-SH-1009,nishat-white-sketched-rose-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,White,Black Rose Outline,Line-Art Sketch,Continuous rose repeat,3.5m,159
NL-SH-1010,nishat-ivory-textured-embroidered-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Ivory,Textured Weave,Subtle Texture,Embroidered neckline + cuffs,3.5m,129
NL-SH-1011,nishat-pink-rose-lace-trim-lawn-shirt.jpeg,Nishat Linen,Shirt,Lawn,Soft Pink,Embroidered Roses,Embroidered Floral,Scalloped lace trim,3.5m,146
NL-SH-1012,nishat-lavender-swissdot-mukaish-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Light Lavender,Swiss-Dot All-Over,Mukaish-Style,Delicate white dot repeats,3.5m,118
NL-SH-1013,nishat-white-pink-petal-grid-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,White,Pink/Coral Petals,Scatter Print,Grid texture base,3.5m,159
NL-SH-1014,nishat-navy-teal-paisley-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Navy,Teal Paisley,Paisley / Border Motif,Vertical paisley border,3.5m,128
NL-SH-1015,nishat-plum-gold-embroidered-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Deep Plum,Gold Ornate Embroidery,Embroidered Motif,Detailed neckline + border,3.5m,155
NL-SH-1016,nishat-multicolor-balochi-tribal-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts | Lawn,Dark,Multicolor Tribal,Tribal / Balochi,Geometric embroidered panels,3.5m,179
NL-SH-1017,nishat-dusty-pink-red-rose-threadwork-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Dusty Pink,Red Rose Clusters,Embroidered Floral,Tone-on-tone threadwork,3.5m,132
NL-SH-1018,nishat-white-multicolor-leaf-botanical-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,White,Multicolor Leaves,Botanical Scatter,Pink/purple/lavender feathers,3.5m,183
NL-SH-1019,nishat-cream-bauhaus-geometric-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Cream,Bauhaus Blocks,Geometric Modern,Yellow/navy/orange/slate,3.5m,155
NL-SH-1020,nishat-navy-polka-dot-gold-neckline-lawn-shirt.jpeg,Nishat Linen,Shirt,Shirts Lawn,Navy,White Polka Dot,Polka Dot,Gold embroidered neckline,3.5m,136
